number,duration,params_constraint_fnr_tolerance,params_learning_rate,params_max_depth,params_min_child_weight,params_multiplier_learning_rate,params_n_estimators
87,0 days 00:00:00.544042,0.041796945575996676,0.003322672928409874,2,385.59066376396305,0.020401478236400893,210
88,0 days 00:00:00.140144,0.044863782508646935,0.007358441880471646,7,3706.65639488315,0.18821641475111528,79
89,0 days 00:00:00.599339,0.4751948776961032,0.04804848686863712,5,939.6897217899174,0.009651313835218833,371
90,0 days 00:00:00.918585,0.020562141028825802,0.01666631407265276,4,5.301837708891092,0.04411884553290023,475
91,0 days 00:00:00.054183,0.102564954286169,0.0044163823965757435,9,617.0489658952001,0.1283600720135926,20
92,0 days 00:00:00.112886,0.08625766151309831,0.040855136178681806,3,26.650175056972117,0.1794063625756821,51
93,0 days 00:00:00.293300,0.01736950296797101,0.08634170838727631,2,2.2562676365688197,0.0073258082464909636,147
94,0 days 00:00:00.077046,0.012985591431617675,0.326464653302024,3,56.07045004388741,0.16824457140635501,36
95,0 days 00:00:00.372495,0.04418388085351121,0.0017236618006523671,2,694.8657904492165,0.07071398684243542,212
96,0 days 00:00:00.071814,0.1695076279528048,0.03321492794800612,3,1851.5410581611995,0.008282588569263078,34
97,0 days 00:00:00.263782,0.04045980899803492,0.03626852936260845,8,9715.683580245508,0.16012258714575517,168
98,0 days 00:00:00.156524,0.05863254766953429,0.0013640611489922603,7,4097.934283798221,0.010646114422111419,90
99,0 days 00:00:00.074538,0.4811436801698027,0.3212206153223426,2,3.4133886974123833,0.006457578570688142,24
100,0 days 00:00:00.471888,0.01065883432327742,0.025650010186469775,7,5.404299208142273,0.07071200312065894,102
101,0 days 00:00:00.164008,0.08554445389905531,0.01567316949413309,7,361.5312464590054,0.11838165388202648,78
102,0 days 00:00:00.267891,0.011440468134861359,0.07858196236664798,4,1044.2381850163893,0.0060490672367933245,166
103,0 days 00:00:00.618218,0.11788671545138044,0.03420450665429024,5,3.0708645378832595,0.3127746012064706,291
104,0 days 00:00:00.643269,0.2611292368111846,0.06532993311481577,6,1.4835957307258725,0.4960395794847371,312
105,0 days 00:00:00.105452,0.07729547708998537,0.4592740114218676,2,1038.099576277783,0.3659859115540072,65
106,0 days 00:00:00.240312,0.029318858643394643,0.003615750451825174,2,334.8823374242732,0.018375869727821258,94
107,0 days 00:00:00.656859,0.06975649445684891,0.0036892578993518777,4,5.5834384461717965,0.17474389933947612,262
108,0 days 00:00:00.096308,0.04615221075423157,0.017158481585802157,2,903.5350423999619,0.2506905277776516,52
109,0 days 00:00:00.557190,0.15113044372231285,0.37805258993976654,5,1.4504680067463231,0.020202726778935115,273
110,0 days 00:00:00.344670,0.22006381625520857,0.2512195378545899,5,32.105682108827786,0.36887730018150827,204
111,0 days 00:00:00.721160,0.031121585624557253,0.0037173157701223592,8,1043.2568969466558,0.25721293653823013,459
112,0 days 00:00:00.074935,0.10748156867915327,0.008265135018953962,9,744.0973063552617,0.08398505888750428,45
113,0 days 00:00:00.115539,0.006438054721635136,0.018856962467142503,3,4.721918909550493,0.25938960725638394,39
114,0 days 00:00:00.607018,0.005702913235079296,0.0028633193478715285,6,7538.4918713044335,0.07226001320251656,393
115,0 days 00:00:00.059192,0.00567443716285491,0.008516796673869004,2,1439.7526910433248,0.011894004586603174,28
116,0 days 00:00:00.423366,0.02671819559281771,0.13566989959743708,9,1.0279359330636682,0.044356666996081845,140
117,0 days 00:00:00.257276,0.09443304206458988,0.22856607350476926,8,27.24647753190851,0.005818524411119138,102
118,0 days 00:00:00.073100,0.016283144500703263,0.060549031815851986,4,1674.785559418679,0.03280360881646821,32
119,0 days 00:00:01.475094,0.3717427277365767,0.040154758353481854,7,44.488322625005,0.005604262433534511,485
120,0 days 00:00:00.089330,0.07878789980920176,0.08593299000051119,5,2240.698000616169,0.04975714390252794,54
121,0 days 00:00:00.201910,0.04736121669192734,0.0437684694207799,4,435.8156974471792,0.4524973633897017,112
122,0 days 00:00:00.102495,0.05413025313339647,0.017885981664286583,5,2166.1770987222985,0.029606667624765413,51
123,0 days 00:00:00.483470,0.010982651997991047,0.040488909477358705,7,8.890224764805481,0.023778707774554503,83
124,0 days 00:00:00.751176,0.03515227489551592,0.005817931941818403,3,139.8453084068548,0.00533778216578091,189
125,0 days 00:00:00.625260,0.028946109530926058,0.28472692712927344,6,1.6967906537158444,0.1386297946630602,311
126,0 days 00:00:00.775047,0.08970282089464181,0.0010574655736292086,9,475.4657641310473,0.007382432209494074,281
127,0 days 00:00:00.671029,0.31924639906351293,0.006706523165043088,2,17.046911488811308,0.049368324961077126,380
