fold,trial,model,params,roc,acc,eod,spd,eq_loss
7,2,XtremeFair_grad,"{'min_child_weight': 21.95200122326722, 'n_estimators': 96, 'eta': 0.2817550482740327, 'max_depth': 10, 'l2_weight': 0.08896053863166814, 'fair_weight': 3.7659654232490425, 'multiplier_learning_rate': 0.21790282029106967}",0.7020398251578436,0.71,0.061366181410974274,0.01302083333333337,0.060763428624582616
8,0,XtremeFair_grad,"{'min_child_weight': 770.8485923380115, 'n_estimators': 11, 'eta': 0.12955129381611666, 'max_depth': 2, 'l2_weight': 12.822588553605419, 'fair_weight': 0.0946768588147539, 'multiplier_learning_rate': 0.07371956267613314}",0.5,0.29,0.0,0.0,0.0
8,1,XtremeFair_grad,"{'min_child_weight': 0.0034762191077632627, 'n_estimators': 74, 'eta': 0.21815436410231623, 'max_depth': 6, 'l2_weight': 0.05128223741601027, 'fair_weight': 0.08692535329872586, 'multiplier_learning_rate': 0.1522948260390841}",0.7286304031083051,0.75,-0.04389697648376267,-0.08072916666666663,-0.010951741754846367
8,2,XtremeFair_grad,"{'min_child_weight': 0.3387158730750357, 'n_estimators': 403, 'eta': 0.17166799728507642, 'max_depth': 4, 'l2_weight': 0.18721272191817284, 'fair_weight': 0.10262349694174533, 'multiplier_learning_rate': 0.16808131128680687}",0.7275376396308887,0.63,0.017021276595744705,-0.00954861111111116,0.057968803093465526
8,3,XtremeFair_grad,"{'min_child_weight': 0.00122562925782813, 'n_estimators': 227, 'eta': 0.4796568746875254, 'max_depth': 5, 'l2_weight': 0.33729247938117, 'fair_weight': 0.010402205258714806, 'multiplier_learning_rate': 0.005648369697584531}",0.7408936376881982,0.63,-0.025531914893616947,-0.04340277777777779,0.026598552565184175
8,4,XtremeFair_grad,"{'min_child_weight': 0.0010172154338252768, 'n_estimators': 363, 'eta': 0.18476528718614274, 'max_depth': 5, 'l2_weight': 0.3101566046354217, 'fair_weight': 0.08683139863322867, 'multiplier_learning_rate': 0.06525639263499478}",0.745264691597863,0.725,0.029563269876819676,-0.05034722222222221,-0.06073880049951119
9,0,XtremeFair_grad,"{'min_child_weight': 148.89944705129008, 'n_estimators': 228, 'eta': 0.31550893491043724, 'max_depth': 4, 'l2_weight': 0.001977281064239541, 'fair_weight': 0.06294198449148145, 'multiplier_learning_rate': 0.027518905120015022}",0.5,0.29,0.0,0.0,0.07285824770350735
9,1,XtremeFair_grad,"{'min_child_weight': 177.69934256325797, 'n_estimators': 209, 'eta': 0.012774975570088425, 'max_depth': 3, 'l2_weight': 0.13246936576658228, 'fair_weight': 0.03979929361250723, 'multiplier_learning_rate': 0.015362069462472133}",0.5,0.29,0.0,0.0,0.06375381985228246
9,2,XtremeFair_grad,"{'min_child_weight': 0.006862824012484148, 'n_estimators': 241, 'eta': 0.14922694763983604, 'max_depth': 6, 'l2_weight': 0.0015699559136743346, 'fair_weight': 0.3325816938020838, 'multiplier_learning_rate': 0.026165360057967}",0.7007042253521127,0.74,-0.05442329227323628,-0.09027777777777779,0.17399674361526918
9,3,XtremeFair_grad,"{'min_child_weight': 0.044528164154206865, 'n_estimators': 141, 'eta': 0.23712320747468796, 'max_depth': 9, 'l2_weight': 14.006032795381502, 'fair_weight': 0.6551342817319934, 'multiplier_learning_rate': 0.17261730952846105}",0.7371296745993201,0.78,-0.08622620380739088,-0.09288194444444442,0.15147375530464202
9,4,XtremeFair_grad,"{'min_child_weight': 310.5182962684552, 'n_estimators': 25, 'eta': 0.12258110301837517, 'max_depth': 7, 'l2_weight': 912.5899215418003, 'fair_weight': 0.05344483971230042, 'multiplier_learning_rate': 0.11440399294050202}",0.5,0.29,0.0,0.0,0.0
9,5,XtremeFair_grad,"{'min_child_weight': 2.1352435335694873, 'n_estimators': 50, 'eta': 0.02321766834996206, 'max_depth': 3, 'l2_weight': 0.19811668346959208, 'fair_weight': 0.06161512438363753, 'multiplier_learning_rate': 0.16005576171889224}",0.7577707625060709,0.72,0.008510638297872242,0.01909722222222221,0.0482886155795782
9,6,XtremeFair_grad,"{'min_child_weight': 229.74709218652643, 'n_estimators': 64, 'eta': 0.040143922489062386, 'max_depth': 5, 'l2_weight': 0.6492592079972955, 'fair_weight': 0.01026295580195373, 'multiplier_learning_rate': 0.3500634947459918}",0.5,0.29,0.0,0.0,0.012909407720498312
