number,duration,params_learning_rate,params_min_child_weight,params_n_estimators,params_num_leaves,params_reg_lambda
116,0 days 00:00:00.855511,0.010194656273031394,0.002696646338867191,119,15,0.00254234971230207
117,0 days 00:00:02.356911,0.122402888866015,0.08044821832839626,188,36,106.36742399893386
118,0 days 00:00:00.437002,0.31150913686392895,0.015406427430752677,50,49,38.738151913408515
119,0 days 00:00:00.474890,0.1735855092720622,0.14318264303773887,26,62,7.09408722879362
120,0 days 00:00:03.499596,0.09173814548360514,0.19551164574047553,159,44,0.0018561518170056388
121,0 days 00:00:00.233503,0.013205390298753662,0.004757161368532159,81,47,110.96660022128204
122,0 days 00:00:00.110356,0.08289267993078822,0.9875230781165417,48,49,669.1938607706037
123,0 days 00:00:00.073181,0.3760544887899961,43.9709436150785,30,7,0.011962975909848553
124,0 days 00:00:00.742480,0.48592685007540154,107.13117312477057,221,18,209.86392072090416
125,0 days 00:00:00.254021,0.1293020166209694,0.010207180701056784,64,5,0.3523736950612513
126,0 days 00:00:00.560657,0.016334148089583393,215.95753659102945,196,10,20.812562561697156
127,0 days 00:00:00.380992,0.2924095512611121,40.568162787034524,37,54,0.07543139118454337
128,0 days 00:00:00.969214,0.036629952173271495,0.006525185743700246,125,29,123.75643008922255
129,0 days 00:00:00.282243,0.025568417601108052,98.57947031131366,60,8,0.00523177175088431
130,0 days 00:00:02.352351,0.020306102235681887,0.13127721846802132,217,24,0.0017853973449501659
